id,name,image,description,affinity,skill
17f6927105cl0hznj0z1zekjxe48uw,Ash Of War: Stormcaller,https://eldenring.fanapis.com/images/ashes/17f6927105cl0hznj0z1zekjxe48uw.png,"This Ash of War grants an armament the Quality affinity and the following skill:""Stormcaller: One of the skills that channel the tempests of Stormveil. Spin armament to create surrounding storm winds. Repeated inputs allow for up to two follow-up attacks.""Usable on swords capable of slashing, axes, hammers, and polearms (small and colossal weapons excepted).",Quality,Stormcaller
17f698b0169l0hznj20xql58va51p,Ash Of War: Storm Stomp,https://eldenring.fanapis.com/images/ashes/17f698b0169l0hznj20xql58va51p.png,"This Ash of War grants an armament the Quality affinity and the following skill:""Storm Stomp: One of the skills that channel the tempests of Stormveil. Stomp hard on the ground to kick up a momentary storm.""Usable on all melee armaments.",Quality,Storm Stomp
17f6958e40fl0hznj220cxyqrpbhbtl,Ash Of War: Storm Wall,https://eldenring.fanapis.com/images/ashes/17f6958e40fl0hznj220cxyqrpbhbtl.png,"This Ash of War grants no affinity to an armament, but imparts the following skill:""Storm Wall: Swing the shield to create a wall of storm winds in front of you, deflecting arrows and other such physical projectiles. Can also be used in the same way as a regular parry.""Usable on small and medium shields.",Standard,Storm Wall
17f691bde6dl0hznj254ai88m30jy4,Ash Of War: Storm Assault,https://eldenring.fanapis.com/images/ashes/17f691bde6dl0hznj254ai88m30jy4.png,"This Ash of War grants an armament the Quality affinity and the following skill:""Storm Assault: One of the skills that channel the tempests of Stormveil. Leap forward through surrounding storm winds and thrust armament downward. The attack will produce more storm winds at the point of impact.""Usable on polearms capable of thrusting, heavy thrusting swords, and twinblades.",Quality,Storm Assault
17f6967f8b4l0hznj7rb45wsxsqe2k,Ash Of War: Thops's Barrier,https://eldenring.fanapis.com/images/ashes/17f6967f8b4l0hznj7rb45wsxsqe2k.png,"This Ash of War grants an armament the Magic affinity and the following skill:""Thops's Barrier: Erect a magical forcefield while swinging the shield to deflect sorceries and incantations. Can also be used in the same way as a regular parry.""Usable on small and medium shields.",Magic,Thops's Barrier
17f69649d89l0hznj9kugkc82bxbio,Ash Of War: Storm Blade,https://eldenring.fanapis.com/images/ashes/17f69649d89l0hznj9kugkc82bxbio.png,"This Ash of War grants an armament the Quality affinity and the following skill:""Storm Blade: Lost skill of Stormveil. Surround armament with shearing storm winds that can be fired forward. Can be fired in rapid succession.""Usable on swords (colossal weapons and twinblades excepted).",Quality,Storm Blade
17f6934bf80l0hznjbmtfxzfeycj3,Ash Of War: Sword Dance,https://eldenring.fanapis.com/images/ashes/17f6934bf80l0hznjbmtfxzfeycj3.png,"This Ash of War grants an armament the Keen affinity and the following skill:""Sword Dance: Quickly close in to perform a series of spinning upward slashes. Follow up with an additional input to finish with a downward slash.""Usable on swords, axes, and polearms capable of slashing (colossal weapons and great spears excepted).",Keen,Sword Dance
17f694f3dc4l0hznjyrorixzbrhtyl,Through And Through,https://eldenring.fanapis.com/images/ashes/17f694f3dc4l0hznjyrorixzbrhtyl.png,"This Ash of War grants no affinity to an armament, but imparts the following skill:""Through and Through: Powerful archery skill using a greatbow held in an oblique stance. Ready the greatbow, then twist the bowstring to fire a mighty greatarrow that can penetrate through enemies.""Usable on greatbows.",Standard,Through and Through
17f698ab1efl0hznjzezdci4en72vq,Ash Of War: Thunderbolt,https://eldenring.fanapis.com/images/ashes/17f698ab1efl0hznjzezdci4en72vq.png,"This Ash of War grants an armament the Lightning affinity and the following skill:""Thunderbolt: Skill used by the capital's ancient dragon cult. Raise armament aloft to call down a bolt of lightning. Can be fired in rapid succession.""Usable on all melee armaments.",Lightning,Thunderbolt
17f699ec1a6l0hznk0i5ha4237hzfk,Ash Of War: Unsheathe,https://eldenring.fanapis.com/images/ashes/17f699ec1a6l0hznk0i5ha4237hzfk.png,"This Ash of War grants an armament the Keen affinity and the following skill:""Unsheathe: Skill of swordsmen from the Land of Reeds. Sheathe blade, holding it at the hip in a composed stance. Follow up with a normal or strong attack to perform a swift slash attack.""Usable on katana.",Keen,Unsheathe
17f697d7810l0hznk0s61fxkyp7oyb,Ash Of War: Vacuum Slice,https://eldenring.fanapis.com/images/ashes/17f697d7810l0hznk0s61fxkyp7oyb.png,"This Ash of War grants an armament the Quality affinity and the following skill:""Vacuum Slice: Lost skill of ancient heroes. Hold the armament aloft to surround it with a shearing vacuum, then launch it forwards as a blade-like projectile.""Usable on swords and axes (small and colossal axes excepted).",Quality,Vacuum Slice
17f6993d1e2l0hznk0xt4ctr9t63x,Ash Of War: Troll's Roar,,"This Ash of War grants an armament the Heavy affinity and the following skill:""Troll's Roar: Look into the distance and let out an intense roar, generating a powerful shockwave that blows back surrounding foes. Follow up with a strong attack to slam the armament down.""Usable on large and colossal swords, axes, and hammers.",Heavy,Troll's Roar
17f692815c3l0hznk5jl6bndkytllg,Ash Of War: War Cry,https://eldenring.fanapis.com/images/ashes/17f692815c3l0hznk5jl6bndkytllg.png,"This Ash of War grants an armament the Heavy affinity and the following skill:""War Cry: Give a war cry to rally the spirit and increase attack power. While active, strong attacks change to charging attacks.""Usable on melee armaments (daggers, thrusting swords, and whips excepted).",Heavy,War Cry
17f694286dcl0hznk67par4y8fhfsr,Ash Of War: Vow Of The Indomitable,https://eldenring.fanapis.com/images/ashes/17f694286dcl0hznk67par4y8fhfsr.png,"This Ash of War grants an armament the Sacred affinity and the following skill:""Vow of the Indomitable: Skill of the ancient warriors of the Erdtree. Hold shield aloft to imbue yourself with golden power, granting momentary invincibility.""Usable on all shields.",Sacred,Vow of the Indomitable
17f6972b1a9l0hznk88u6e3xorhqag,Ash Of War: Waves Of Darkness,https://eldenring.fanapis.com/images/ashes/17f6972b1a9l0hznk88u6e3xorhqag.png,"This Ash of War grants an armament the Magic affinity and the following skill:""Waves of Darkness: Plunge armament into the ground to release three waves of darkness. Follow up with a strong attack to swing the armament in a sweeping strike.""Usable on greataxes, warhammers, and colossal weapons.",Magic,Waves of Darkness
17f693d28cal0hznkls4roarty63j,Ash Of War: White Shadow's Lure,,"This Ash of War grants an armament the Occult affinity and the following skill:""White Shadow's Lure: Hold armament in a brief, silent prayer to create a white shadow. The apparition lures in foes of human build who are not in combat, drawing their aggression. Effective on demi-humans even if they are already in a combat state.""Usable on all melee armaments.",Occult,White Shadow's Lure
17f694c6f7dl0hznknwj67qfg5tulf,Ash Of War: Wild Strikes,https://eldenring.fanapis.com/images/ashes/17f694c6f7dl0hznknwj67qfg5tulf.png,"This Ash of War grants an armament the Heavy affinity and the following skill:""Wild strikes: Swing armaments with wild abandon. Hold to continue swinging. Can be followed up with a normal or strong attack.""Usable on axes and hammers as well as curved swords and greatswords (colossal weapons excepted).",Heavy,Wild Strikes
17f69961854l0hznksnfmac6brvbwg,Lost Ashes Of War,https://eldenring.fanapis.com/images/ashes/17f69961854l0hznksnfmac6brvbwg.png,"Empty ashes of war, devoid of any memories of battle.Unable to apply any kind of affinity in their current state, but can be used by Smithing Master Hewg of the Roundtable Hold to recreate other ashes.Thus does the copy pass into becoming the genuine article.",None,Ashes of War
