id,name,image,description,type,effect,obtainedFrom
17f69a51206l0i1zgo366ludyegee,Glintstone Craftsman's Cookbook [4],https://eldenring.fanapis.com/images/items/17f69a51206l0i1zgo366ludyegee.png,"A record of crafting techniques left by a glintstone craftsman who served the academy. Contains information on ""faux sorceries,""such as they were called. Acquire the knowledge to craft the following: -Magic Pot -Roped Magic Pot -Shield Grease",Misc,Expands crafting repertoire,
17f697db6a5l0i1zgqp6vwj9feu18h,Glintstone Craftsman's Cookbook [5],https://eldenring.fanapis.com/images/items/17f697db6a5l0i1zgqp6vwj9feu18h.png,A record of crafting techniques left by a glintstone craftsman who served the academy.,Misc,Expands crafting repertoire,
17f69d1dd3cl0i1zh08kyvg85za7ud,Glintstone Craftsman's Cookbook [6],https://eldenring.fanapis.com/images/items/17f69d1dd3cl0i1zh08kyvg85za7ud.png,A record of crafting techniques left by a glintstone craftsman who served the academy.,Misc,Expands crafting repertoire,
17f69baa90dl0i1zh8h3353r1wz8f8,Nomadic Warrior's Cookbook [23],https://eldenring.fanapis.com/images/items/17f69baa90dl0i1zh8h3353r1wz8f8.png,A record of crafting techniques left by nomad warriors.,Misc,Expands crafting repertoire,
17f699eb929l0i1zhbm10vm1rnqhn0i,Glintstone Craftsman's Cookbook [8],https://eldenring.fanapis.com/images/items/17f699eb929l0i1zhbm10vm1rnqhn0i.png,"A record of crafting techniques left by a glintstone craftsman who served the Academy. Contains information on ""faux sorceries,""such as they were called. Acquire the knowledge to craft the following: - Academy Magic Pot",Misc,Expands crafting repertoire.,
17f698e27d3l0i1zhco4l1yq3r6c7x,Glintstone Craftsman's Cookbook (7),https://eldenring.fanapis.com/images/items/17f698e27d3l0i1zhco4l1yq3r6c7x.png,"A record ofcrafting techniques left by a glintstone craftsman who served the Academy. Contains information on ""faux sorceries,""such as they were called.",Misc,Expands crafting repertoire.,
17f69775681l0i1zhfktji7qpekgeb,Frenzied's Cookbook [1],https://eldenring.fanapis.com/images/items/17f69775681l0i1zhfktji7qpekgeb.png,A record of crafting techniques left by those afflicted by the madness of the flame of frenzy. Contains techniques discovered in desperation.,Misc,Expands crafting repertoire,
17f69cae817l0i1zhm8oiev20icuyf,Frenzied Cookbook,https://eldenring.fanapis.com/images/items/17f69cae817l0i1zhm8oiev20icuyf.png,A record of crafting techniques left by those afflicted by the madness of the flame of frenzy.,Misc,Expands crafting repertoire,
17f69d93f0bl0i1zi1do78bjwzjpo,Perfumer's Cookbook [2],https://eldenring.fanapis.com/images/items/17f69d93f0bl0i1zi1do78bjwzjpo.png,A record of crafting techniques left by a depraved perfumer.,Misc,Expands crafting repertoire,
17f69a4e1eel0i1zi2q9em38bfes5f,Perfumer's Cookbook [1],https://eldenring.fanapis.com/images/items/17f69a4e1eel0i1zi2q9em38bfes5f.png,A record of crafting techniques left by a military perfumer. Contains martial techniques beyond the repertoire of an ordinary physician.,Misc,Expands crafting repertoire,
17f698347edl0i1zi4edg1khr0lppf,Perfumer's Cookbook [3],https://eldenring.fanapis.com/images/items/17f698347edl0i1zi4edg1khr0lppf.png,A record of crafting techniques left by a depraved perfumer.,Misc,Expands crafting repertoire,
17f6974b90fl0i1zi5dk04ssmsdf7,Perfumer's Cookbook [4],https://eldenring.fanapis.com/images/items/17f6974b90fl0i1zi5dk04ssmsdf7.png,A record of crafting techniques left by a depraved perfumer. Contains perilous techniques no ordinary physician would attempt.,Misc,Expands crafting repertoire,
17f69c972e4l0i1ziaqbmt5nn2nfxk,Ancient Dragon Apostle's Cookbook [1],https://eldenring.fanapis.com/images/items/17f69c972e4l0i1ziaqbmt5nn2nfxk.png,"A record of crafting techniques taught by the capital's ancient dragon cult. Details techniques that harness lightning, the weapon of the ancient dragons.",Misc,Expands crafting repertoire,
17f69b9584al0i1zivdht7fbjv2zjq,Ancient Dragon Apostle's Cookbook [2],https://eldenring.fanapis.com/images/items/17f69b9584al0i1zivdht7fbjv2zjq.png,"A record of crafting techniques taught by the capital's ancient dragon cult. Details techniques that harness lightning, the weapon of the ancient dragons. Acquire the knowledge to craft the following: -Lightning Pots -Roped Lightning Pots",Misc,Expands crafting repertoire,
17f69b12521l0i1zivlbebkgvvzsal,Ancient Dragon Apostle's Cookbook [3],https://eldenring.fanapis.com/images/items/17f69b12521l0i1zivlbebkgvvzsal.png,"A record of crafting techniques taught by the capital's ancient dragon cult. Details techniques that harness lightning, the weapon of the ancient dragons.",Misc,Expands crafting repertoire,
17f69b4a217l0i1zix90eaz2cyjd06r,Ancient Dragon Apostle's Cookbook [4],https://eldenring.fanapis.com/images/items/17f69b4a217l0i1zix90eaz2cyjd06r.png,"A record of crafting techniques taught by the capital's ancient dragon cult. Details techniques that harness lightning, the weapon of the ancient dragons. Acquire the knowledge to craft the following: - Ancient Dragonbolt Pot - Lightningproof Dried Liver",Misc,Expands crafting repertoire,
17f69aa268al0i1zj0rfdsne7y1g1w,Flask Of Crimson Tears,https://eldenring.fanapis.com/images/items/17f69aa268al0i1zj0rfdsne7y1g1w.png,"A sacred flask modelled after a golden holy chalice that was once graced by a tear of life. Filled with crimson tears, this flask restores HP with use. Rest at a site of grace to replenish. It is said that a Finger Maiden will bestow two such chalices upon the chosen Tarnished when they meet.",-,Restores HP,
17f69c3ff84l0i1zj2p7ufmf8aagmk,Flask Of Cerulean Tears,https://eldenring.fanapis.com/images/items/17f69c3ff84l0i1zj2p7ufmf8aagmk.png,"A sacred flask modelled after a golden holy chalice that was once graced by a tear of life. Filled with cerulean tears, this flask restores FP with use. Rest at a site of grace to replenish. It is said that a Finger Maiden will bestow two such chalices upon the chosen Tarnished when they meet.",-,Restores FP,
17f69d8aa5fl0i1zjnvamum74phqg,Scriptstone,https://eldenring.fanapis.com/images/items/17f69d8aa5fl0i1zjnvamum74phqg.png,"Ruin fragment inscribed with letters.  Craftable item. Reveals additional messages from other worlds. Words are gregarious things, drawn to one another much as people are.",- ,Reveals more messages from other worlds,
17f69724116l0i1zjot8ai6wb8tnwb,Holy Water Pot,https://eldenring.fanapis.com/images/items/17f69724116l0i1zjot8ai6wb8tnwb.png,Craftable item prepared using a cracked pot. Enchanted by incantations of the Golden Order.,- ,Uses FP. Throw at enemies to inflict holy damage,
17f69cb38bfl0i1zjpuu6hdk5bkppp,Rainbow Stone,https://eldenring.fanapis.com/images/items/17f69cb38bfl0i1zjpuu6hdk5bkppp.png,Ruin Fragment that has undergone some simple processing.,- ,"Shines with colored light when placed, serving as a guide",
17f6987a37cl0i1zjt7mvguxdthe1,Roped Fire Pot,https://eldenring.fanapis.com/images/items/17f6987a37cl0i1zjt7mvguxdthe1.png,Craftable item prepared using a cracked pot.,Str A Dex C,Throw behind to inflict fire damage.,Str A Dex C
17f699d2c14l0i1zju94uo7sodfgrt,Rowa Raisin,https://eldenring.fanapis.com/images/items/17f699d2c14l0i1zju94uo7sodfgrt.png,Preparation of dried Rowa fruit.,- ,"On horseback, feed to spectral steed to restore HP",
17f69af87d1l0i1zkawkfivu9nltzr,Glowstone,https://eldenring.fanapis.com/images/items/17f69af87d1l0i1zkawkfivu9nltzr.png,"Polished Ruin Fragment that shines brighter than a Rainbow Stone. Craftable item. Emits light from the location it is placed, illuminating surroundings. However, the effect is short-lived, and it lacks the diverse colors of rainbow stones. May serve some benefit in dark places, or at night.",- ,Emits a faint light from the location it is placed,
17f69cd6520l0i1zkfatyirikr6qrf,Pauper's Rune,https://eldenring.fanapis.com/images/items/17f69cd6520l0i1zkfatyirikr6qrf.png,"Grace that dwells within the inhabitants of The Lands Between; the lingering residue of gold. Use to gain a few runes. For all that they may be feeble things, these runes will act as nourishment for the development of any Tarnished. Provided a Finger Maiden can be found...",-,Use to gain a few runes,
17f69b8a1f0l0i1zkh6maq6vqjsba,Flask Of Wondrous Physick,https://eldenring.fanapis.com/images/items/17f69b8a1f0l0i1zkh6maq6vqjsba.png,"A relic of the physick chemists, priests of the Erdtree. Harnesses the powers of crystal tears, which only form after the passage of many moons. Various specials effects are bestowed upon the drinker, dependent on the specific mixture of crystal tears. Rest at a site of grace to replenish. It is said that in the Lands Between, pools of crystal tears amass at the bases of Minor Erdtrees.",-,Bestows various special effects,
17f696ee91el0i1zkibguxzrhqyozt,Immunizing Cured Meat,https://eldenring.fanapis.com/images/items/17f696ee91el0i1zkibguxzrhqyozt.png,"Cured strip of meat, dried out after pickling in a green medicinal solution. Craftable item. Temporarily boosts immunity Higher immunity helps to mitigate the buildup of various poisons and scarlet rot",-,Temporarily boosts Immunity,
17f697afcfel0i1zl4a55avoigqigk,Pickled Turtle Neck,https://eldenring.fanapis.com/images/items/17f697afcfel0i1zl4a55avoigqigk.png,"Turtle neck meat, pickled in a bitter medicinal solution.",-,Temporarily boosts Stamina recovery,
17f697457b4l0i1zl7xxckgmi3o54d,Fireproof Dried Liver,https://eldenring.fanapis.com/images/items/17f697457b4l0i1zl7xxckgmi3o54d.png,"Cured animal liver, dried out after pickling in a flame-hued medical solution. Craftable item. Boosts fire damage negation for a short time, improving damage mitigation against attacks imbued with fire.",- ,Boosts  Fire Damage Negation for a short time.,
17f69e41af8l0i1zl9gsih5hy2b26m,Drawstring Fire Grease,https://eldenring.fanapis.com/images/items/17f69e41af8l0i1zl9gsih5hy2b26m.png,"Solidified grease made from a mixture of incendiary materials. Craftable item. A smallish lump with a short string attached. Quickly coats armament, inflicting fire damage. However, the effects are only brief.",- ,"Quickly coats weapon, inflicting  Fire Damage",
17f69e533f7l0i1zlczjc9uof4rycd,Fire Pot,https://eldenring.fanapis.com/images/items/17f69e533f7l0i1zlczjc9uof4rycd.png,Craftable item prepared using a cracked pot. A cocktail of incendiary materials is sealed inside.,Str A Dex C,Throw at enemies to inflict Fire Damage,Str A Dex C
17f69dfccaal0i1zlsr4o9wdgh17ls,Fire Grease,https://eldenring.fanapis.com/images/items/17f69dfccaal0i1zlsr4o9wdgh17ls.png,"Solidified grease made from a mixture of incendiary materials. Craftable item. Coats armament, adding fire damage to attacks. The effect last only for a short time.",- ,"Coats weapon, inflicting Fire Damage",
17f694ee235l0i1zm039o3qkxzujg,Neutralizing Boluses,https://eldenring.fanapis.com/images/items/17f694ee235l0i1zm039o3qkxzujg.png,"Green boluses made from cave moss. Craftable item. Alleviates poison buildup and cures poison ailment. Poison accumulates gradually, coming into effect once the threshold is reached. Poison ailment lowers HP in steady increments for a period.",- ,Alleviates poison buildup and cures poison,
17f6958b812l0i1zm14qf7ii129s89,Exalted Flesh,https://eldenring.fanapis.com/images/items/17f6958b812l0i1zm14qf7ii129s89.png,"A lump of animal pickled in a medicinal solution mixed with fiery spices. Craftable item. Temporarily Boosts physical attack Considered a delicacy in the badlands, this invigorating repast was for the exclusive benefit of those who they called heroes.",-,Temporarily boosts physical attack,
17f69a48fbel0i1zm37z2g5pk0abql,Sleep Pot,https://eldenring.fanapis.com/images/items/17f69a48fbel0i1zm37z2g5pk0abql.png,"Craftable item prepared using a cracked pot. Filled with the incantations of St. Trina. Consumes FP. Throw at enemy to release a purple, soporific haze. Like a lullaby, or a quagmire, it irresistibly draws its victims down into sleep. Sweet dreams.",-,Emits a Soporific purple haze,
17f697fc525l0i1zm3syso1p5cmup,Gold-pickled Fowl Foot,https://eldenring.fanapis.com/images/items/17f697fc525l0i1zm3syso1p5cmup.png,"Four-toed foot of a fowl, pickled in a golden medicinal solution. Craftable item. Boosts the amount of runes obtained from defeating enemies for a certain duration Since old times, the needy would scrape the meat clean even from a fowl's claw.",-,Boosts rune acquisition for a time (30%),
17f699a6aa5l0i1zmh7yprbiqxpkc,Dragon Heart,https://eldenring.fanapis.com/images/items/17f699a6aa5l0i1zmh7yprbiqxpkc.png,"Dragon heart seized by a dragon tracker. It has a bizarre shape, mottled by gravel, and it continues to beat vivaciously. An offering used in the Dragon Communion. Consume a dragon's heart at the altar to make its power yours. While a terrible and savage-looking thing, the heart has a peculiar beauty to it.",- ,Gain power of the dragon at the Dragon Communion altar.,
17f6962fdacl0i1zms0owlgpo23pwd,Throwing Dagger,https://eldenring.fanapis.com/images/items/17f6962fdacl0i1zms0owlgpo23pwd.png,Short dagger for throwing.,Str B Dex A,Throw at enemies to inflict damage,Str B Dex A
17f69780e1cl0i1zmv3kagaozf4ptp,Stimulating Boluses,https://eldenring.fanapis.com/images/items/17f69780e1cl0i1zmv3kagaozf4ptp.png,"Light-purple boluses made from cave moss. Craftable item. Alleviates buildup of sleep. Sleep accumulates gradually, causing sudden fogginess and loss of FP once the threshold is reached, even if it does not force the afflicted into true slumber. Take one of these into timely fashion to avoid such events.",-,Alleviates buildup of sleep,
17f69a2292al0i1zmwlcpqjohxl42m,Stanching Boluses,https://eldenring.fanapis.com/images/items/17f69a2292al0i1zmwlcpqjohxl42m.png,"Red boluses made from cave moss Craftable item. Alleviates impending blood loss Blood loss escalates gradually, causing great damage once the threshold is reached. Take one of these in timely fashion to avoid such an event.",-,Alleviates impending blood loss,
17f697e883fl0i1zmygjhgy8ulgnbc,Lands Between Rune,https://eldenring.fanapis.com/images/items/17f697e883fl0i1zmygjhgy8ulgnbc.png,Grace said to have once dwelled in the eyes of the inhabitants of the Lands Between; the lingering residue of gold.,-,Use to gain many runes,
17f69561a93l0i1zn82gmca4ahwx1j,Golden Seed,https://eldenring.fanapis.com/images/items/17f69561a93l0i1zn82gmca4ahwx1j.png,"A golden seed, found at the base of an illusory tree.",- ,Increases Sacred Flask's number of uses,
17f69afb0abl0i1znm7l2q4q6i7jle,Bewitching Branch,https://eldenring.fanapis.com/images/items/17f69afb0abl0i1znm7l2q4q6i7jle.png,Tree branch blessed with an incantation of unalloyed gold. Craftable item.,-,Uses FP to charm pierced enemy,
17f69545b6dl0i1znndlckbc7g9qcc,Boiled Prawn,https://eldenring.fanapis.com/images/items/17f69545b6dl0i1znndlckbc7g9qcc.png,Boiled prawn meat. A prime specimen of plump and moist meat. True connoisseurs know how to keep from over-salting.,- ,Boosts physical damage negation for a time,
17f69adc8c9l0i1znnjz2luapkc2u,Explosive Stone,https://eldenring.fanapis.com/images/items/17f69adc8c9l0i1znnjz2luapkc2u.png,A small stone with a smoldering core.,Str A Dex C,"Explodes when thrown, inflicting Fire Damage",Str A Dex C
17f69c92a81l0i1znojgn5a3ut4umv,Starlight Shards,https://eldenring.fanapis.com/images/items/17f69c92a81l0i1znojgn5a3ut4umv.png,An ephemeral sliver that gives off a pale blue glow.,-,Use to gradually recover FP,
17f69d9db08l0i1znvqfeg973qx3p,Golden Rune [1],https://eldenring.fanapis.com/images/items/17f69d9db08l0i1znvqfeg973qx3p.png,Grace that dwells within the inhabitants of the Lands Between;,-,Use to gain a small number of runes,
17f6974b67al0i1zo8yaqe8p732yk8,Golden Rune [2],https://eldenring.fanapis.com/images/items/17f6974b67al0i1zo8yaqe8p732yk8.png,Grace that dwells within the inhabitants of the Lands Between;,Misc,Use to gain a small number of runes (400),
17f6975a9acl0i1zoayos0878n8oh,Golden Rune [3],https://eldenring.fanapis.com/images/items/17f6975a9acl0i1zoayos0878n8oh.png,Grace that dwells within the inhabitants of the Land Between;,-,Use to gain runes,
17f69a2a7e6l0i1zoddtgpi2gkrbkl,Golden Rune [6],https://eldenring.fanapis.com/images/items/17f69a2a7e6l0i1zoddtgpi2gkrbkl.png,Grace that dwells within the inhabitants of the Lands Between;,-,Use to gain many runes,
17f6997d0c5l0i1zojo2zkr29gi7ww,Golden Rune [4],https://eldenring.fanapis.com/images/items/17f6997d0c5l0i1zojo2zkr29gi7ww.png,Grace that dwells Within the inhabitants of the Lands Between;,-,Use to gain runes,
17f6955cce6l0i1zok9ln4sdjpuv6p,Baldachin's Blessing,,Favor bestowed by a deathbed companion. Protection of a hidden,- ,Uses FP to temporarilty boost poise,
17f69d54061l0i1zouypdn8vlubda,Blood Grease,https://eldenring.fanapis.com/images/items/17f69d54061l0i1zouypdn8vlubda.png,Solidified grease made from a mixture of blood-red materials.,-,"Coats armament, inflicting blood loss",
17f6965ed4el0i1zoz7uqkyk6g9g1,Frozen Raisin,https://eldenring.fanapis.com/images/items/17f6965ed4el0i1zoz7uqkyk6g9g1.png,Preparation of dried Rimed Rowa.,- ,"On horseback, feed to Torrent to vastly restore HP",
17f6953a99el0i1zp7dxh4533wgeze,Glass Shard,https://eldenring.fanapis.com/images/items/17f6953a99el0i1zp7dxh4533wgeze.png,Glass shard covered in dirt.,-,Shard of filthy glass. Worthless rubbish,
17f69aeec5cl0i1zp8vmpfgj1t4xs,Fan Daggers,https://eldenring.fanapis.com/images/items/17f69aeec5cl0i1zp8vmpfgj1t4xs.png,A set of five throwing knives bundled together.,Str B Dex S,Thrown fanned-out knives at enemies to inflict damage,Str B Dex S
17f69a32a0fl0i1zpct4u7kc4ijukf,Grace Mimic,https://eldenring.fanapis.com/images/items/17f69a32a0fl0i1zpct4u7kc4ijukf.png,A fetish indicating the guidance of grace.,-,"Light shows the path, but without order",
17f69668249l0i1zpjg8d4bkrce3ta,Roped Holy Water Pot,https://eldenring.fanapis.com/images/items/17f69668249l0i1zpjg8d4bkrce3ta.png,"Craftable item prepared using a cracked pot. Enchanted by incantations of the Golden Order, and a short rope that aids throwing has been secured around the pot.",- ,Uses FP. Throw behind to inflict holy damage,
17f69b3aef4l0i1zpm49uo2xs68exc,Bone Dart,https://eldenring.fanapis.com/images/items/17f69b3aef4l0i1zpm49uo2xs68exc.png,Animal bone sharpened into a knife for throwing. Craftable item.,Str B,Throw at enemies to inflict damage,Str B
17f69d7bfb8l0i1zptnmjls9ovhrv,Gravity Stone Chunk,https://eldenring.fanapis.com/images/items/17f69d7bfb8l0i1zptnmjls9ovhrv.png,Shard of rock found in the wake of a meteorite strike.,Str C Int B,Uses FP to cause a gravitational explosion,Str C Int B
17f69c024c6l0i1zpx4zat52cu59v,Gravity Stone Fan,https://eldenring.fanapis.com/images/items/17f69c024c6l0i1zpx4zat52cu59v.png,Shard of rock found in the wake of a meteorite strike.,Str C Int B,Uses FP to emit fan-shaped gravitational shockwave,Str C Int B
17f699c5c47l0i1zq1zgxhczy5ltgk,Invigorating Cured Meat,https://eldenring.fanapis.com/images/items/17f699c5c47l0i1zq1zgxhczy5ltgk.png,"Cured strip of meat, dried out after pickling in a red medicinal solution. Craftable item.",-,Temporarily boosts Robustness,
17f696f7fe4l0i1zq5oy45bomxbku,Invigorating White Cured Meat,https://eldenring.fanapis.com/images/items/17f696f7fe4l0i1zq5oy45bomxbku.png,"A white sliced meat, dried out after pickling in a red medicinal solution. Craftable item.",-,Temporarily boosts Robustness,
17f695feb0fl0i1zq84qhi7rx2s6a,Kukri,https://eldenring.fanapis.com/images/items/17f695feb0fl0i1zq84qhi7rx2s6a.png,A large knife used for throwing.,Str A Dex S ,Throw at enemies to inflict damage and build up onset of blood loss,Str A Dex S 
17f699b908dl0i1zqfh6dh62dsp296,Glintstone Scrap,https://eldenring.fanapis.com/images/items/17f699b908dl0i1zqfh6dh62dsp296.png,"Piece of glintstone tinged with unstable magic. Found in crystal tunnels. Break gem, using FP to produce a magic bolt. Poor quality and thereby easily broken, a sorcerer wouldn't give it a second look.",-,"Break gem, using FP to produce a magic bolt.",
17f69c3939bl0i1zqiqmrzf87vvtq,Large Glintstone Scrap,https://eldenring.fanapis.com/images/items/17f69c3939bl0i1zqiqmrzf87vvtq.png,Large piece of glintstone tinged with unstable magic. Found in crystal tunnels.,- ,Break gem and use FP to produce many magic bolts,
17f696302a8l0i1zqoqze558msc2fj,Magic Grease,https://eldenring.fanapis.com/images/items/17f696302a8l0i1zqoqze558msc2fj.png,Solidified grease made from a mixture of magically resonant materials.,- ,"Coats armament, inflicting magic damage",
17f6982bcdal0i1zqvhswyzzak6ajo,Remembrance Of The Grafted,https://eldenring.fanapis.com/images/items/17f6982bcdal0i1zqvhswyzzak6ajo.png,"Remembrance of Godrick, the Grafted, hewn into the Erdtree.",- ,Take the power of its namesake via Finger Reader,
17f69a0fa67l0i1zr06cic3ysdb53h,Rot Grease,https://eldenring.fanapis.com/images/items/17f69a0fa67l0i1zr06cic3ysdb53h.png,Solidified grease made from a mixture of rotten materials.,-,"Coats armament, inflicting scarlet rot",
17f6956598al0i1zr6fcz3amgdevdi,Rune Arc,https://eldenring.fanapis.com/images/items/17f6956598al0i1zr6fcz3amgdevdi.png, A shard of the shattered Elden Ring.,- ,Grants the blessing of an equipped rune upon use,
17f69ba3d2dl0i1zr6z6bv5j4psjwb,Silver-pickled Fowl Foot,https://eldenring.fanapis.com/images/items/17f69ba3d2dl0i1zr6z6bv5j4psjwb.png,"Four-toed foot of a fowl, pickled in a silvery medicinal solution.",-,Temporarily boosts item discovery (+50),
17f69512556l0i1zrbv0or737s1cnog,Spellproof Dried Liver,https://eldenring.fanapis.com/images/items/17f69512556l0i1zrbv0or737s1cnog.png,"Cured animal liver, dried out after pickling in a blue medicinal",- ,Temporarily boosts magic damage negation,
17f69e45f5fl0i1zrimb576117xqq,Warming Stone,https://eldenring.fanapis.com/images/items/17f69e45f5fl0i1zrimb576117xqq.png,"Ruin Fragment blessed with an incantation of the Two Fingers. Craftable item. Uses FP to generate warmth, continuously restoring the HP of those nearby. It's said that the Erdtree was once as warm as the gentle sun, and would gradually heal all who bathed in its rays.",- ,Uses FP to continuously heal nearby allies,
17f69aafa52l0i1zrl8tds5hunxjle,Sacred Tear,https://eldenring.fanapis.com/images/items/17f69aafa52l0i1zrl8tds5hunxjle.png,"Blessing of the Erdtree, worshiped in the churches of all lands; this",-,Improves Sacred Flask's potency,
17f699913bal0i1zrucvihxtb6jv7s,Furled Finger's Trick-mirror,https://eldenring.fanapis.com/images/items/17f699913bal0i1zrucvihxtb6jv7s.png,"A small, clouded mirror that reflects a flesh-and-blood figure.",0.7,Take on appearance of a Host of Fingers,
17f697e3a12l0i1zruipu7889t5tdp,Host's Trick-mirror,https://eldenring.fanapis.com/images/items/17f697e3a12l0i1zruipu7889t5tdp.png,"A small, clouded mirror that reflects a flesh-and-blood figure.",0.7,Take on appearance of a cooperator,
17f699b03e6l0i1zrzgtoswlr09ws,Drawstring Lightning Grease,https://eldenring.fanapis.com/images/items/17f699b03e6l0i1zrzgtoswlr09ws.png,Solidified grease made from a mixture of fulminating materials. Craftable item. A short string is attached to this lump.,- ,"Quickly coats armament, inflicting lightning damage.",
17f69870be6l0i1zs6qqeo4m0a3u5p,Cuckoo Glintstone,,"Lump of broken glintstone enwreathed with magic power. A ""faux sorcery""used by the Knights of the Cuckoo. Craftable item. Launched straight ahead, using FP. A magic bolt springs forth from the point of impact",Int B,Uses FP to produce a magic bolt,Int B
17f6979df4bl0i1zs7fenpk1iotjg,Preserving Boluses,https://eldenring.fanapis.com/images/items/17f6979df4bl0i1zs7fenpk1iotjg.png,Scarlet boluses made of cave moss. Craftable item.,-,Alleviates scarlet rot buildup and cures rot,
17f69781475l0i1zsfawh03ylws8b,Golden Rune [5],https://eldenring.fanapis.com/images/items/17f69781475l0i1zsfawh03ylws8b.png,Grace that dwells within the inhabitants of the Lands Between; the lingering trace of gold.,Misc,Use to gain runes (1600),
17f6951f0e7l0i1zsksmwnefcweq8s,Remembrance Of The Full Moon Queen,https://eldenring.fanapis.com/images/items/17f6951f0e7l0i1zsksmwnefcweq8s.png,"Remembrance of Rennala, Queen of the Full Moon, hewn into the Erdtree.",-,Take the power of its namesake via Finger Reader,
17f69dd3e15l0i1zspj8og4zvjdfpp,Raw Meat Dumpling,https://eldenring.fanapis.com/images/items/17f69dd3e15l0i1zspj8og4zvjdfpp.png,"A pungent raw meatball, made succulent by virtue of being on the verge of turning.",-,Restores HP but causes poison buildup,
17f6993270fl0i1zsv5nkrr64y1hj,"Prattling Pate ""wonderful""",https://eldenring.fanapis.com/images/items/17f6993270fl0i1zsv5nkrr64y1hj.png,"Twisted clay sculpt in the shape of a human head. Emits a voice that says ""Wonderful.""",-,"Emits a voice that says ""Wonderful""",
17f69c99adbl0i1zt2xdaz8q3om0rr,Clarifying White Cured Meat,https://eldenring.fanapis.com/images/items/17f69c99adbl0i1zt2xdaz8q3om0rr.png,"A white sliced meat, dried out after pickling in a purple medicinal solution. Craftable item.",-,Temporarily boosts focus,
17f69802f8al0i1zt4cxwkj4viuw9,Immunizing White Cured Meat,https://eldenring.fanapis.com/images/items/17f69802f8al0i1zt4cxwkj4viuw9.png,"A white sliced meat, dried out after pickling in a green medicinal solution.",-,Temporarily boosts immunity,
17f69c75a2bl0i1zt7vexd3k832oss,Clarifying Cured Meat,,"Cured strip of meat, dried out after pickling in a purple medicinal solution. Craftable item. Temporarily boosts focus. Higher focus helps to mitigate the buildup of sleep and madness.",-,Temporarily boosts focus,
17f69613247l0i1ztcd6v9vqg09u1,Soft Cotton,https://eldenring.fanapis.com/images/items/17f69613247l0i1ztcd6v9vqg09u1.png,A soft but sturdy cotton formed from splitting open Rowa fruit in a particular manner. Craftable item.,-,Temporarily reduces fall damage and sound,
17f69718064l0i1ztj6zs1ga6awrij,Poisonbone Dart,https://eldenring.fanapis.com/images/items/17f69718064l0i1ztj6zs1ga6awrij.png,"Animal bone sharpened into a knife for throwing, with a poison-laced tip. Craftable item.",Str D Dex C,Throw at enemies to inflict damage and build up poison,Str D Dex C
17f69b5fbc8l0i1ztqsut1ylsv5gss,Poisoned Stone,https://eldenring.fanapis.com/images/items/17f69b5fbc8l0i1ztqsut1ylsv5gss.png,A small stone with a poisoned core.,-,Throw at enemies to cause buildup of poison,
17f69e1972el0i1ztt3nnqscjrmgf,Poisoned Stone Clump,https://eldenring.fanapis.com/images/items/17f69e1972el0i1ztt3nnqscjrmgf.png,A clump of small stones with poison cores.,-,Throw together to cause buildup of poison,
17f69703ba7l0i1ztwp3pff9ealg3j,Dragonwound Grease,https://eldenring.fanapis.com/images/items/17f69703ba7l0i1ztwp3pff9ealg3j.png,Solidified grease made from a mixture of gravels stones. Craftable item.,-,"Coats armament, granting special dragon attacks",
17f69d75574l0i1ztzpw8w4gi0347p,"Prattling Pate ""apologies""",https://eldenring.fanapis.com/images/items/17f69d75574l0i1ztzpw8w4gi0347p.png,"Twisted clay sculpt in the shape of a human head. Emits a voice that says ""Apologies.""",-,"Emits a voice that says ""Apologies""",
17f69c5e2f9l0i1zu84zepim5swncf,Rejuvenating Boluses,https://eldenring.fanapis.com/images/items/17f69c5e2f9l0i1zu84zepim5swncf.png,Black boluses made of cave moss. Craftable item.,-,Alleviates death blight buildup,
17f697e103fl0i1zuezwn5gaqyajzs,Explosive Stone Clump,https://eldenring.fanapis.com/images/items/17f697e103fl0i1zuezwn5gaqyajzs.png,A clump of small stones with smoldering cores.,-,"Explodes when thrown together, inflicting fire damage",
17f6979b090l0i1zufqn06yc9f7hb7,"Prattling Pate ""you're Beautiful""",https://eldenring.fanapis.com/images/items/17f6979b090l0i1zufqn06yc9f7hb7.png,"Twisted clay sculpt in the shape of a demi-human head. Emits a voice that says ""You're beautiful.""",-,"Emits a voice that says ""You're beautiful""",
17f69beefc3l0i1zujz0wn3ingciqnc,Poison Grease,https://eldenring.fanapis.com/images/items/17f69beefc3l0i1zujz0wn3ingciqnc.png,Solidified grease made from a mixture of poison-green materials.,-,"Coats armament, inflicting poison",
17f698e33e7l0i1zuo3ffvwukb3f6c,"Prattling Pate ""please Help""",https://eldenring.fanapis.com/images/items/17f698e33e7l0i1zuo3ffvwukb3f6c.png,"Twisted clay sculpt in the shape of a human head. Emits a voice that says ""Please help.""",-,"Emits a voice that says ""Please help""",
17f69cb8ebbl0i1zusn8k0dzg2s6gm,Golden Rune [7],https://eldenring.fanapis.com/images/items/17f69cb8ebbl0i1zusn8k0dzg2s6gm.png,Grace that dwells within the inhabitants of the Lands Between; the lingering trace of gold.,-,Use to gain many runes,
