id,name,image,region,description,Liurnia of the Lakes
17f699bc4c7l0i2ml02kvmdi9fv2a,Aeonia Swamp,https://eldenring.fanapis.com/images/locations/17f699bc4c7l0i2ml02kvmdi9fv2a.png,Caelid,"The Swamp of Aeonia is nestled in the center of the Caelid region. What were once flourishing plains filled with rich flora and fauna are now reduced to a cesspool of death and decay. A high concentration of the dreaded scarlet rot has mutated the very earth itself, twisting the creatures and plant life that once called this home.",
17f69a15b4al0i2ml8g7pe7tcjmzqk,Cathedral Of Dragon Communion (caelid),https://eldenring.fanapis.com/images/locations/17f69a15b4al0i2ml8g7pe7tcjmzqk.png,Caelid,"The Cathedral of Dragon Communion has long been destroyed, but those who seek to commune with draconic power may yet access its power ",
17f69922e0fl0i2mlawpo9eps0kqe,Church Of The Plague,https://eldenring.fanapis.com/images/locations/17f69922e0fl0i2mlawpo9eps0kqe.png,Caelid,"A dilapidated church found in the cliffs east of Sellia, Town of Sorcery",
17f69dbb012l0i2mlliso8pvrpw4an,Fort Gael,https://eldenring.fanapis.com/images/locations/17f69dbb012l0i2mlliso8pvrpw4an.png,Caelid,"A ruined fort in a ruined land, ",
17f69b4d520l0i2mln0ngtae6zndll,Gael Tunnel,https://eldenring.fanapis.com/images/locations/17f69b4d520l0i2mln0ngtae6zndll.png,Caelid,"A set of tunnels found on the western edge of Caelid, along the border to Limgrave",
17f69a84cf2l0i2mlr7qukgvew5dt,Forsaken Ruins,https://eldenring.fanapis.com/images/locations/17f69a84cf2l0i2mlr7qukgvew5dt.png,Caelid,The Forsaken Ruins consists of a group of broken buildings and abandoned campsites. It is located in Caelid and is gaurded by a Giant Crow,
17f69d11b53l0i2mlurz5othyaw2yn,Gaol Cave,https://eldenring.fanapis.com/images/locations/17f69d11b53l0i2mlurz5othyaw2yn.png,Caelid,Found at the west of Caelid.,
17f6981d80cl0i2mlvehfutqz69f7c,Gowry's Shack,https://eldenring.fanapis.com/images/locations/17f6981d80cl0i2mlvehfutqz69f7c.png,Caelid,"A lone shack found below the eastern hills near Sellia, Town of Sorcery.",
17f69d11915l0i2mm7w192hcoirxvu,Minor Erdtree Catacombs,https://eldenring.fanapis.com/images/locations/17f69d11915l0i2mm7w192hcoirxvu.png,Caelid,"Minor Erdtree Catacombs is a Location in Elden Ring. The Minor Erdtree Catacombs is found in Caelid, beneath the Minor Erdtree. Players can reach this location by traveling east from where the region meets with Limgrave and then looking for the entrance behind the tree, in the north.",
17f69c84fbal0i2mmf3h8h45isx18a,Redmane Castle,https://eldenring.fanapis.com/images/locations/17f69c84fbal0i2mmf3h8h45isx18a.png,Caelid,A small castle that is heavily guarded at the castle's outskirts by Radahn Knights and Soldiers. The Redmane Castle serves as the gathering point for warriors alike who are wanting to participate in the Radahn Festival,
17f69654a3dl0i2mmit9ec0mmxu749,Minor Erdtree (caelid),https://eldenring.fanapis.com/images/locations/17f69654a3dl0i2mmit9ec0mmxu749.png,Caelid,"The Minor Erdtree of Caelid, found in the northwest near the border to Limgrave.",
17f69e4cd2al0i2mmjf7o5gwy7nhbg,Sellia Crystal Tunnel,https://eldenring.fanapis.com/images/locations/17f69e4cd2al0i2mmjf7o5gwy7nhbg.png,Caelid,The crystal mining operation of Sellia is overseen by greedy and aggressive insectoids ,
17f69866cf7l0i2mmw8ziuo0llo4l8,Sellia Evergaol,https://eldenring.fanapis.com/images/locations/17f69866cf7l0i2mmw8ziuo0llo4l8.png,Dragonbarrow, Outside of Sellia Evergaol,
17f69f5508fl0i2mmwfbgtc9rn3v1n,Sellia Gateway,https://eldenring.fanapis.com/images/locations/17f69f5508fl0i2mmwfbgtc9rn3v1n.png,Caelid,"The gateway leading to Sellia, Town of Socrcery",
17f69f1cb3fl0i2mn4dwszk6ivxz2,"Sellia, Town Of Sorcery",https://eldenring.fanapis.com/images/locations/17f69f1cb3fl0i2mn4dwszk6ivxz2.png,Caelid,"A once-great town renowned for its study of the sorcerous arts. Now lying in ruin, the ghosts of its former scholars still roam the streets.",
17f69d93dd7l0i2mn5cuabfm8gwktg,Smoldering Church,https://eldenring.fanapis.com/images/locations/17f69d93dd7l0i2mn5cuabfm8gwktg.png,Limgrave,The Last Church in Limgrave before reaching Caelid,
17f69ae9c57l0i2mn6m3td3uzlk5s5,Shack Of The Rotting,https://eldenring.fanapis.com/images/locations/17f69ae9c57l0i2mn6m3td3uzlk5s5.png,Caelid,An old worn-down shack overlooking a long stretch of cliffs in western Caelid.,
17f697a0d02l0i2mnesx1dup5pg1u9,Street Of Sages Ruins,https://eldenring.fanapis.com/images/locations/17f697a0d02l0i2mnesx1dup5pg1u9.png,Caelid,"The sages of Caelid are no more, and their former district is now the dwelling of perfumers and their poisonous flowers ",
17f699e1038l0i2mnmh37d1nfbes3b,War-dead Catacombs,https://eldenring.fanapis.com/images/locations/17f699e1038l0i2mnmh37d1nfbes3b.png,Caelid,Catacombs for those who have died a glorious battle death,
17f69625085l0i2mnshaufkjhe4gok,Capital Outskirts,https://eldenring.fanapis.com/images/locations/17f69625085l0i2mnshaufkjhe4gok.png,Altus Pleateau,"Capital Outskirts is a Location in Elden Ring. The Capital Outskirts sub-region lies in the Eastern area of the Altus Plateau and is the region just outside Leyndell, Royal Capital but still within the capital's outer walls. Beware of Skeletons rising from their graves and rocks flying out of the capital toward the battlegrounds when exploring the area.",
17f6993b974l0i2mnzpvp1ultcqrm,Altus Tunnel,https://eldenring.fanapis.com/images/locations/17f6993b974l0i2mnzpvp1ultcqrm.png,Altus Pleateau,The Altus tunnels were once used to supply the lands with quality crystals ,
17f697ef5f2l0i2mo0qi9n0ri0imyd,"Dominula, Windmill Village",https://eldenring.fanapis.com/images/locations/17f697ef5f2l0i2mo0qi9n0ri0imyd.png,Altus Pleateau,"Dominula, Windmill Village is a Location in Elden Ring. The Dominula, Windmill Village  is found in Altus Plateau. East of the ""Road of iniquity Side Path""sight of grace. Follow the main path southeast then bend east.  ",
17f69bbcfcal0i2mo7s8f4xhwr53ms,East Windmill Pasture,https://eldenring.fanapis.com/images/locations/17f69bbcfcal0i2mo7s8f4xhwr53ms.png,Altus Pleateau,"East Pasture Outskirsts of Windmill Village. True to its name, it can be identified by the still-working windmill placed in the center of the pasture.",
17f698e4311l0i2mo8fibxu670d50f,Golden Lineage Evergaol,https://eldenring.fanapis.com/images/locations/17f698e4311l0i2mo8fibxu670d50f.png,Altus Pleateau,An evergaol located on within the Altus Plateau.,
17f696d8354l0i2mogg6n9e7genjdc,Hermit Merchant's Shack,https://eldenring.fanapis.com/images/locations/17f696d8354l0i2mogg6n9e7genjdc.png,Altus Pleateau,"Nestled on a cliff within the confines of the Royal Capital, this shack is home to a humble merchant, who has chosen a life of seclusion",
17f697f9642l0i2molzde5v6dex4io,Altus Tunnel,https://eldenring.fanapis.com/images/locations/17f697f9642l0i2molzde5v6dex4io.png,Altus Pleateau,The Altus tunnels were once used to supply the lands with quality crystals ,
17f69a8e034l0i2moqhosmm855zzp,"Leyndell, Royal Capital",https://eldenring.fanapis.com/images/locations/17f69a8e034l0i2moqhosmm855zzp.png,Altus Pleateau,"Leyndell, Royal Capital is a Location in Elden Ring. The Leyndell, Royal Capital region is only accessible to players who have gathered two Great Runes or by following Ranni the Witch quest line and defeating Fia's Champions near the Great Waterfall Crest Site of Grace in the Deeproot Depths, and has content for highly leveled gameplay. For a detailed walkthrough, please visit the walkthrough page for Leyndell, Royal Capital Legacy Dungeon here.",
17f69b88577l0i2moruy4cidw6hrmb,Lux Ruins,,Altus Pleateau,"Long forgotten ruins among golden trees, swarmed with demi-humans protecting the undergound chamber.",
17f697666c6l0i2mozt3d41gvlk4j8,Old Altus Tunnel,https://eldenring.fanapis.com/images/locations/17f697666c6l0i2mozt3d41gvlk4j8.png,Altus Pleateau,"An old mining site, still active to this day. Its tunnels echo with the grunts and groans of the commoners, tirelessly slaving away, grinding at the rich reservoir of crystals deep within",
17f698ef5fbl0i2mp1l1tslwuty9kl,Minor Erdtree Church,https://eldenring.fanapis.com/images/locations/17f698ef5fbl0i2mp1l1tslwuty9kl.png,Altus Pleateau,What's left of the Church of the Minor Erdtree,
17f698984e2l0i2mpau822kzbjamiq,Sealed Tunnel,https://eldenring.fanapis.com/images/locations/17f698984e2l0i2mpau822kzbjamiq.png,Altus Pleateau,Not as small or abandoned as it looks.,
17f69b9d414l0i2mpdus3zy2at76rr,Stormcaller Church,https://eldenring.fanapis.com/images/locations/17f69b9d414l0i2mpdus3zy2at76rr.png,Altus Pleateau,A lonely church on a steppe,
17f6981f5f9l0i2mpl63u29r5fa3te,The Shaded Castle,https://eldenring.fanapis.com/images/locations/17f6981f5f9l0i2mpl63u29r5fa3te.png,Altus Pleateau,"An abandoned and Decrepit castle found in the northern region between the Mt. Gelmir and the Altus Plateau regions. The castle is half sunken into a poisonous bog, with the air tinged yellow by the fumes.",
17f69af90afl0i2mpmxqabln2xz5gc,Woodfolk Ruins,https://eldenring.fanapis.com/images/locations/17f69af90afl0i2mpmxqabln2xz5gc.png,Altus Pleateau,"Woodfolk Ruins, guarded by Limgrave's creatures, can be found near the Minor Erdtree within Altus Plateau.",
17f69b068c5l0i2mpzgw13xb7y8df,Corpse-stench Shack,,Altus Pleateau,A run-down shack amidst burning corpses past the site of a recent battle.,
17f69d9b8fel0i2mq0i7c25oc8ud27,Writheblood Ruins,https://eldenring.fanapis.com/images/locations/17f69d9b8fel0i2mq0i7c25oc8ud27.png,Altus Pleateau,"Writheblood ruins, with nearest minor erdtree in background",
17f69d1692bl0i2mq82mmh96k9rqih,Craftsman's Shack,https://eldenring.fanapis.com/images/locations/17f69d1692bl0i2mq82mmh96k9rqih.png,Altus Pleateau,A series of long-abandoned huts found directly south of the volcano,
17f69b3cf18l0i2mqdndclk0p7tmvv,Gelmir Hero's Grave,https://eldenring.fanapis.com/images/locations/17f69b3cf18l0i2mqdndclk0p7tmvv.png,Altus Pleateau,Large Catacombs housing an ancient hero of Mt. Gelmir.,
17f69a0735el0i2mqkr50k38bz166b,Hermit's Shack,https://eldenring.fanapis.com/images/locations/17f69a0735el0i2mqkr50k38bz166b.png,Altus Pleateau,An abandoned shack along the western edge of Mt. Gelmir,
17f69b78aa3l0i2mqmnrfo05lqjj3,Fort Laiedd,https://eldenring.fanapis.com/images/locations/17f69b78aa3l0i2mqmnrfo05lqjj3.png,Altus Pleateau,"Fort Laiedd is found on the western edge of Mt. Gelmir. A fort left broken, still occupied by those who won the battle",
17f69f41641l0i2mqtyu5zlb9bg8xc,Perfumer's Ruins,https://eldenring.fanapis.com/images/locations/17f69f41641l0i2mqtyu5zlb9bg8xc.png,Altus Pleateau,"A set of ruins found in Altus Plateau, far to the west and below Mt. Gelmir.",
17f69630438l0i2mqvzhowrb84vyy,Hermit Village,https://eldenring.fanapis.com/images/locations/17f69630438l0i2mqvzhowrb84vyy.png,Altus Pleateau,A dilapidated village southeast of Mt. Gelmir. Now home to Demi-Humans.,
17f69a39644l0i2mr10gkkf9agp8m7,Sage's Cave,https://eldenring.fanapis.com/images/locations/17f69a39644l0i2mr10gkkf9agp8m7.png,Altus Pleateau,"Sage's Cave is a dark opening in the side of a mountain. Its dark depths are overrun by hostile undead, but those who brave it may find treasures beyond compare",
17f69a7a523l0i2mr4q3lyuakdiubr,Second Church Of Marika,https://eldenring.fanapis.com/images/locations/17f69a7a523l0i2mr4q3lyuakdiubr.png,Altus Pleateau,Second of the four Churches of Marika where players can gather a Sacred Tear for their flask.,
17f69c28019l0i2mrdirn1c1brqcqj,Unsightly Catacombs,https://eldenring.fanapis.com/images/locations/17f69c28019l0i2mrdirn1c1brqcqj.png,Altus Pleateau,"A burial grounds crawling with Misbegotten creatures found deep beneath the Perfumer's Ruins. Despite its decrepit state, the catacombs give off a trace of fragrant aromas juxtaposed by the scent of the ancient dead",
17f6967952el0i2mrhy8fpgqo0f4hr,Seethewater Cave,https://eldenring.fanapis.com/images/locations/17f6967952el0i2mrhy8fpgqo0f4hr.png,Altus Pleateau,A cave found along the Seethewater Ravine.,
17f696c58e8l0i2mrr461qyqfe46y6,Wyndham Catacombs,https://eldenring.fanapis.com/images/locations/17f696c58e8l0i2mrr461qyqfe46y6.png,Altus Pleateau,Burial grounds located beneath Wyndham Ruins.,
17f69e3f410l0i2mrtcr66ff1g9p4h,Volcano Cave,https://eldenring.fanapis.com/images/locations/17f69e3f410l0i2mrtcr66ff1g9p4h.png,Altus Pleateau,"A cave system at the highest point of Mt. Gelmir, made into a home by a family of Demi-Humans hiding their maddened Queen.",
17f697f4526l0i2mrynoucp5w0m96s,Wyndham Ruins,https://eldenring.fanapis.com/images/locations/17f697f4526l0i2mrynoucp5w0m96s.png,Altus Pleateau,A large set of ruins atop a burial grounds. The reanimated dead still roam the area,
17f69b97ce8l0i2ms4ikyh4h5oxhve,Bestial Sanctum,https://eldenring.fanapis.com/images/locations/17f69b97ce8l0i2ms4ikyh4h5oxhve.png,Caelid,"The Beastial Sanctum is a refuge for those who feed on the dead. Beastly and deformed, the clergyman here will teach the ways of the beast to those who feed it",
17f69a52fdal0i2mscdgudt5b894m5,Dragonbarrow Cave,https://eldenring.fanapis.com/images/locations/17f69a52fdal0i2mscdgudt5b894m5.png,Dragonbarrow,A small dungeon found beneath the Minor Erdtree in Dragonbarrow,
17f69bd98abl0i2msf1hgi0pk8vssd,Divine Tower Of Caelid,https://eldenring.fanapis.com/images/locations/17f69bd98abl0i2msf1hgi0pk8vssd.png,Caelid,"A massive tower found in central Dragonbarrow, north of Caelid. The sides of the tower are crumbling from the massive overgrowth protruding from the plateau",
17f69bc1846l0i2msgjjzgo3z9kwjh,Deep Siofra Well,https://eldenring.fanapis.com/images/locations/17f69bc1846l0i2msgjjzgo3z9kwjh.png,Dragonbarrow,A second lift to the Siofra River.,
17f69f6581cl0i2msjrduyrq5lzcub,Fort Faroth,https://eldenring.fanapis.com/images/locations/17f69f6581cl0i2msjrduyrq5lzcub.png,Dragonbarrow,"Fort Faroth used to house the guardians of Caelid, but its defenders have long fallen, now bound to earth as hostile spirits",
17f696f226dl0i2msytg87r3uaqkyd,Lenne's Rise,https://eldenring.fanapis.com/images/locations/17f696f226dl0i2msytg87r3uaqkyd.png,Dragonbarrow,"An observation tower in the northeast of Dragonbarrow, off the path to the Bestial Sanctum",
17f69dd1443l0i2mt2e1wsljt8hffr,Isolated Merchant's Shack (dragonbarrow),https://eldenring.fanapis.com/images/locations/17f69dd1443l0i2mt2e1wsljt8hffr.png,Dragonbarrow,A lonesome hut found atop a plateau in western Dragonbarrow. Home to a hermit looking to part with various odds and ends... for a price,
17f697b13fal0i2mt2gmldy864m2zj,Castle Sol,https://eldenring.fanapis.com/images/locations/17f697b13fal0i2mt2gmldy864m2zj.png,Mountaintops of the Giants,A castle found in the northeast of the Mountaintops of the Giants. Stronghold of Commander Niall and his spectral knights,
17f6986804dl0i2mt48ydii28an8a,Church Of Repose,https://eldenring.fanapis.com/images/locations/17f6986804dl0i2mt48ydii28an8a.png,Mountaintops of the Giants,A small crumbled church high on the mountains,
17f69d071acl0i2mtig4ni1eefzjg,Forge Of The Giants,https://eldenring.fanapis.com/images/locations/17f69d071acl0i2mtig4ni1eefzjg.png,Mountaintops of the Giants,The giant's forge could contain a volcano.,
17f697bdfffl0i2mtpen4salledwa,Grand Lift Of Rold,https://eldenring.fanapis.com/images/locations/17f697bdfffl0i2mtpen4salledwa.png,Mountaintops of the Giants,The impressive Lift of Rold transports those who wield the right key. But could there be more than one destination??,
17f698657ecl0i2mtswf7rb3f7u2l7,Guardians' Garrison,https://eldenring.fanapis.com/images/locations/17f698657ecl0i2mtswf7rb3f7u2l7.png,Mountaintops of the Giants,"Guardian's Garrison is staffed by Fire Priests, who zealously watch the road leading to the Giant's Forge ",
17f697036fbl0i2mtt1y66q5foxdq,Giant-conquering Hero's Grave,https://eldenring.fanapis.com/images/locations/17f697036fbl0i2mtt1y66q5foxdq.png,Mountaintops of the Giants,A complex dungeon filled with invulnerable enemies and strange golden floor seals. ,
17f6986c248l0i2mud577bnmdfh8w,Shack Of The Lofty,https://eldenring.fanapis.com/images/locations/17f6986c248l0i2mud577bnmdfh8w.png,Mountaintops of the Giants,"A lone shack found in the Mountaintops of the Giants. This shack was once visited by a traveling maiden, but she had long since perished under the elements",
17f69a25d31l0i2muhzfvabyqxiv2v,Spiritcaller's Cave,https://eldenring.fanapis.com/images/locations/17f69a25d31l0i2muhzfvabyqxiv2v.png,Mountaintops of the Giants,"A cave found by the Freezing Lake, heavily battered by the elements",
17f695f2681l0i2muinpxbngca38up,Stargazer's Ruins,https://eldenring.fanapis.com/images/locations/17f695f2681l0i2muinpxbngca38up.png,Mountaintops of the Giants,A set of ruins found in central Mountaintops of the Giants. The plateau it is sitting on is located between two bridges.,
17f69efba83l0i2mv5car0cnamiotl,Zamor Ruins,https://eldenring.fanapis.com/images/locations/17f69efba83l0i2mv5car0cnamiotl.png,Mountaintops of the Giants,"The ancient Town of Zamor, now fallen to ruin. Its anzient order of knights still roam the snow-capped streets",
17f69b5132al0i2mvbu1p0fqlhzbjb,Consecrated Snowfield Catacombs,https://eldenring.fanapis.com/images/locations/17f69b5132al0i2mvbu1p0fqlhzbjb.png,Mountaintops of the Giants,"The Catacombs of the fields leading to Miquella's Haligtree hide powerful secrets, but are zealously guarded",
17f697fe6e2l0i2mvhwmvjnk9ek1hb,Apostate Derelict,https://eldenring.fanapis.com/images/locations/17f697fe6e2l0i2mvhwmvjnk9ek1hb.png,Mountaintops of the Giants,A ruined church lying in the frozen north-west of the Consecrated Grounds ,
17f6994064fl0i2mvrzl0ze8veus3,Heretical Rise,https://eldenring.fanapis.com/images/locations/17f6994064fl0i2mvrzl0ze8veus3.png,Mountaintops of the Giants,"The secrets of Heretical Rise are closely guarded by hidden magic, but the tower is overrun with hostile Avionette Soldiers ",
17f69a00a08l0i2mvsxha1qmkpwnqb,Hidden Path To The Haligtree,https://eldenring.fanapis.com/images/locations/17f69a00a08l0i2mvsxha1qmkpwnqb.png,Mountaintops of the Giants,The secret passage leading to Miquella's Haligtree has been polluted by Those Who Live in Dead ,
17f69ea8ac4l0i2mw3htuchm8ubrxk,Yelough Anix Ruins,https://eldenring.fanapis.com/images/locations/17f69ea8ac4l0i2mw3htuchm8ubrxk.png,Mountaintops of the Giants,A set of ruins found in the northwest of the Consecrated Snowfield,
17f699f31b0l0i2mw5av5ayol4jqjn,"Ordina, Liturgical Town",https://eldenring.fanapis.com/images/locations/17f699f31b0l0i2mw5av5ayol4jqjn.png,Mountaintops of the Giants,Ghost town inhabitated in the evergaol,
17f69dfae57l0i2mwa08uny35m2uqf,Yelough Anix Tunnel,https://eldenring.fanapis.com/images/locations/17f69dfae57l0i2mwa08uny35m2uqf.png,Mountaintops of the Giants,An icy tunnel on the southern edge of the Yelough Anix Ruins,
