id,name,image,description,location,drops
17f69d18668l0i6z3zu42cdeukhk8j,Living Jar,https://eldenring.fanapis.com/images/creatures/17f69d18668l0i6z3zu42cdeukhk8j.png,"The Living Jar, a walking vase that has long arms used for reaching and attacking their foes. A Living Jar may appear small in a group and it can also appear as a singular giant entity, capable of using slow, yet strong attacks.",Multiple Locations,['Living Jar Shard']
17f6a056aafl0i6z4af9sblixpdylg,Lesser Wormface,https://eldenring.fanapis.com/images/creatures/17f6a056aafl0i6z4af9sblixpdylg.png,Lesser Wormface may not be as large as Wormface itself but they can be found roaming around in groups around Crumbling Farum Azula.,Crumbling Farum Azula,['Gold-Tinged Excrement']
17f6a418567l0i6z4aoex55cxoyq5,Maneuverable Flamethrower,https://eldenring.fanapis.com/images/creatures/17f6a418567l0i6z4aoex55cxoyq5.png,Large wagons operated from the inside that shoot fire from a sculpture's mouth.,Liurnia of The Lakes,['None']
17f6a474991l0i6z4cwbbfkzh4re1b,Marionette Gargoyle,https://eldenring.fanapis.com/images/creatures/17f6a474991l0i6z4cwbbfkzh4re1b.png,"The Marionette Gargoyle are statues within Raya Lucaria Academy that have been reanimated with magical properties. They mainly fly in the air and wield a scythe that they use to attack their foes. They are usually found on posts, pretending to be statues.",Raya Lucaria Academy,['Runes']
17f6a0988d8l0i6z4hc87seey9tml6,Marionette Soldier,https://eldenring.fanapis.com/images/creatures/17f6a0988d8l0i6z4hc87seey9tml6.png,"Marionette Soldiers are puppets that are created and given life by superior being that reside within Raya Lucaria Academy. Their purpose is to protect and stop intruders from entering the institute. These soldiers appear to have multiple arms wielding more than one weapon, making them unpredictable in regards to how they will strike.","Raya Lucaria Academy, Academy Gate Town, Raya Lucaria Crystal Tunnel, Witchbane Ruins",['Marionette Soldier Helm']
17f6a01fd7dl0i6z4m61s5fhcnqbsl,Miner,https://eldenring.fanapis.com/images/creatures/17f6a01fd7dl0i6z4m61s5fhcnqbsl.png,"The ever working miners of Limgrave know no life but their toil, and will fiercely defend it","Limgrave Tunnels, Sellia Crystal Tunnel, Ruin-Strewn Precipice","['92 Runes', 'Explosive Stone', 'Smithing Stone [1]']"
17f69d05071l0i6z4v1gz1oqx0zdoi,Mounted Northern Mercenary,https://eldenring.fanapis.com/images/creatures/17f69d05071l0i6z4v1gz1oqx0zdoi.png,"Mounted Northern Mercenaries are often seen guarding important deliveries and outposts, such as Stormgate",Limgrave,"['282 Runes', 'Dismounter', 'Kaiden Helm', 'Kaiden Armor', 'Kaiden Gauntlets', 'Kaiden Trousers']"
17f69e8a2b8l0i6z4x8r2r0q9rh0e,Mounted Knight,https://eldenring.fanapis.com/images/creatures/17f69e8a2b8l0i6z4x8r2r0q9rh0e.png,,"North-east region of Limgrave, North of Liurnia of the Lakes",['Ash of War: Golden Vow']
17f6a10d252l0i6z5198munduncnjs,Noble Sorcerer,https://eldenring.fanapis.com/images/creatures/17f6a10d252l0i6z5198munduncnjs.png,Noble Sorcerers are frail old men wearing tattered garbs and a dirty yellow cape. They use a standard glintstone staff as both a sorcery catalyst and walking stick.,Various,['Glintstone Staff']
17f69f69a20l0i6z54ww74ju60bty,Misbegotten,https://eldenring.fanapis.com/images/creatures/17f69f69a20l0i6z54ww74ju60bty.png,"The Misbegotten are small humanoid creatures with small wings on their backs and a tail that reaches to the ground. Treated as slaves or worse from the time they are born, they rush in attack wildly and ruthlessly with their Iron Cleavers.","Castle Morne, Weeping Peninsula, Mt. Gelmir","['Iron Cleaver', 'Old Fang', '59 Runes']"
17f69d7e1b7l0i6z5a4ncivwwpp2qj,Kaiden Sellsword,https://eldenring.fanapis.com/images/creatures/17f69d7e1b7l0i6z5a4ncivwwpp2qj.png,"Kaiden Sellswords roam the land, looking to be hired for several protection roles",Throughout Limgrave and Stormhill,"['282 Runes ', 'Dismounter', '', 'Frozen Raisin', 'Kaiden Helm', 'Kaiden Armor', 'Kaiden Gauntlets', 'Kaiden Trousers']"
17f6a4fb9a1l0i6z5hvvg1hhcj3ei,Omen,https://eldenring.fanapis.com/images/creatures/17f6a4fb9a1l0i6z5hvvg1hhcj3ei.png,"A large ogre that is kept imprisoned within the grounds of Stormveil Castle. It appears to be battered and treated violently to discipline it, and used as a weapon to fight against trespassers.",Stormveil Castle,"['Runes', 'Omen Cleaver']"
17f69db88c7l0i6z5ndofcii9xrcxj,Pendulum Statue,https://eldenring.fanapis.com/images/creatures/17f69db88c7l0i6z5ndofcii9xrcxj.png,"A golden statue that sits on a small wagon. Attached to it are two pendulum blades that can extend to capture its prey. The Pendulum Statue is being controlled by an unkown creature that rests within it, only by opening its chest will it reveal its root-like tentacles.",Raya Lucaria Academy,['Runes']
17f6a1f8766l0i6z5q9r5tu6mrj36h,Old Knight Istvan,https://eldenring.fanapis.com/images/creatures/17f6a1f8766l0i6z5q9r5tu6mrj36h.png,Invading another world. Defeat Old Knight Istvan!,Stormhill,"['84 Runes', 'Rune Arc', 'Furlcalling Finger Remedy', 'Scaled Helm', 'Scaled Armor', 'Scaled Gauntlets', 'Scaled Greaves']"
17f6a46e932l0i6z5rezx45hbss4r,Perfumer,https://eldenring.fanapis.com/images/creatures/17f6a46e932l0i6z5rezx45hbss4r.png,???,Leyndell Royal Capital,['563 Runes']
17f6a3a46ccl0i6z5xed8ncsfqghvd,Pumpkin Head,https://eldenring.fanapis.com/images/creatures/17f6a3a46ccl0i6z5xed8ncsfqghvd.png,The breaking disrupted the flora and fauna of the region. Some took a rather intense liking to the larger plants that emerged,"Castle Morne, Weeping Peninsula","['291 Runes', 'Pumpkin Helm', 'Sanctuary Stone']"
17f69cf2d89l0i6z60v1napt1t9k63,Raya Lucaria Sorcerer,https://eldenring.fanapis.com/images/creatures/17f69cf2d89l0i6z60v1napt1t9k63.png,"Academicians of the Raya Lucaria Academy. These sholars dedicate their lives to learning and mastering the art of sorcery and serve one superiror sorcerer who resides within the institute. They are able to use glintstone sorcery to strike their foes from afar, and are still capable of using their weapon for close-quarters combat.",Raya Lucaria Academy,"['Academy Glintstone Staff', 'Raya Lucarian Robe', 'Sorcerer Manchettes', 'Sorcerer Leggings']"
17f6a59863fl0i6z6burs88c0miyu,Rileigh The Idle,https://eldenring.fanapis.com/images/creatures/17f6a59863fl0i6z6burs88c0miyu.png,Invading another world. Defeat Rileigh the Idle!,Altus Plateau,"['84 Runes', 'Rune Arc', 'Furlcalling Finger Remedy', ""Crepus's Vial"", 'Black-Key Bolt x20']"
17f69f71f60l0i6z6caa01v3eaefsv,Revenant,https://eldenring.fanapis.com/images/creatures/17f69f71f60l0i6z6caa01v3eaefsv.png,"A grotesque amalgamation of limbs, the Revenant is a creature with the body structure of an arachnid and the face of a human. Much like a spider, it possesses many limbs that seem to have been grafted onto its body, taken from diseased humans. The Revenant is capable of traveling through portals it creates with a peculiar form of magic, swiftly emerging behind a foe to catch them off guard.",Liurnia of the Lakes,"['4,103 Runes', 'Ghost Glovewort (2)', 'Rowa Fruit']"
17f6a30a47el0i6z6ibwvy43l0c4ve,Servant Of Rot,https://eldenring.fanapis.com/images/creatures/17f6a30a47el0i6z6ibwvy43l0c4ve.png,"Servants of Rot relish in the pungent miasma expelled by Poison Flowers. Their bodies are heavily mutated by the rot, their heads transformed into large crowns of fungi. These presumably former humans know only the rot and they worship it like a deity, bathed in its fog of decay.","Stillwater Cave, Caelid Waypoint Ruins",['Toxic Mushroom']
17f6a13c3d8l0i6z6jjzorqhmoanqe,Raya Lucarian Warden,https://eldenring.fanapis.com/images/creatures/17f6a13c3d8l0i6z6jjzorqhmoanqe.png,"Wardens roam the halls of the Raya Lucaria Academy, armed and watchful for furtive marauders.",Raya Lucaria Academy,['None']
17f69d1e7e0l0i6z6mt86j6rq8kd7k,Soldier,https://eldenring.fanapis.com/images/creatures/17f69d1e7e0l0i6z6mt86j6rq8kd7k.png,"Soldiers defend the many outposts of the Lords from incoming threats, such as the Tarnished","Stormveil Castle, Stormhill, Main Limgrave, Weeping Peninsula","['33~64 Runes', ""Lordsworn's Straight Sword"", 'Dagger']"
17f6a21f232l0i6z6yse22dhf9ffk,Skeleton Mage,,"Skeleton Mages are usually found on graveyards in Liurnia of the Lakes. They can out from the ground, they can be found in groups, wielding scythes and constantly casting a spell launching ghostly skulls against you.",Liurnia of the Lakes,['108 Runes']
17f6a529d76l0i6z7317q6dcu048df,Skeleton,https://eldenring.fanapis.com/images/creatures/17f6a529d76l0i6z7317q6dcu048df.png,"Skeletons rise from cemeteries and ruins of the Lands Between, attacking relentlessly any who approach","In the beaches and dungeons of Limgrave, and in the cemetery area of Stormhill",['35 Runes']
17f69f8a495l0i6z73t2p7blhg5kfk,Slender Wayfarer,https://eldenring.fanapis.com/images/creatures/17f69f8a495l0i6z73t2p7blhg5kfk.png,"A rare and long-haired creature, tall and slender, often found at the shore.",Seaside Ruins,"['311 Runes', 'Ash of War: Gravitas']"
17f69d9fd6dl0i6z7g6vzjb17ulqd,Swordstress,https://eldenring.fanapis.com/images/creatures/17f69d9fd6dl0i6z7g6vzjb17ulqd.png,Nimble warriors protecting and patrolling the eternal cities.,Night's Sacred Ground,"['635 Runes', 'Nox Swordstress Armor']"
17f6a2e0377l0i6z7guw0djley785,Troll,https://eldenring.fanapis.com/images/creatures/17f6a2e0377l0i6z7guw0djley785.png,"The Trolls of the Lands Between are frequently enslaved for defensive positions, but are also used in lieu of beasts of burden",Along the road north of the Collapsed bridge,"['≈1000 Runes', 'Smithing Stone Shard']"
17f6a593684l0i6z7nl19q2aff4zjt,Troll Knight,https://eldenring.fanapis.com/images/creatures/17f6a593684l0i6z7nl19q2aff4zjt.png,"Trolls are often employed to guard key locations, such as staircases large enough to accommodate their massive bodies. Often unmatched in strength, it bears the question... What manner of creature poses enough of a threat such that the mighty troll would find itself in need of heavy armor...?","Caria Manor, Liurnia of the Lakes",['???']
17f69dd4a95l0i6z7rq2htblkttsdr,Undead Soldier,https://eldenring.fanapis.com/images/creatures/17f69dd4a95l0i6z7rq2htblkttsdr.png,"Undead creatures, decayed and struggling to maintain balance while roaming the fields of The Lands Between.","Fringefolk Hero's Grave, Dragon-Burnt Ruins",['19 Runes']
17f6a37e8a8l0i6z814i8ubxe1ty0d,Twinsage Sorcerer,,"Twinsage Sorcerers are distinguished from other scholars by the crowns worn on their head, depicting the Twinsage Conspectus, with distinct blue crystals forming at the top of the twin heads.",Raya Lucaria Academy,['???']
17f69fd99f0l0i6z81ym04r89cha6i,Wraith Caller,https://eldenring.fanapis.com/images/creatures/17f69fd99f0l0i6z81ym04r89cha6i.png,"As their name suggests, Wraith Callers are equipped with Wraith Calling Bells that they use to channel death magic, summoning vengeful spirits to attack those that dare intrude upon the ruins of Liurnia. Devout worshippers of the Revenants, Wraith Callers are able to utilize the Revenants' dimensional portals, albeit to a lesser extent.",Liurnia of the Lakes,['Grave Violet']
